created_at,entry_id,field1 (Ambient Temperature),field2 (Ambient Humidity),field3 (soil temperature),field4 (Leaf wetness sensor),field5 (Soil moisute sensor),field6 (Battery voltage),latitude,longitude,elevation,status
2021-10-24T00:20:58+00:00,7142,22.84533,100,18.67659,13006,13651.263,3.43677,,,,
2021-10-24T00:22:27+00:00,7143,23.09347,100,18.57734,13105,13477.479,3.49032,,,,
2021-10-24T00:23:56+00:00,7144,23.49049,100,18.67659,13031,13495.497,3.48903,,,,
2021-10-24T00:25:25+00:00,7145,23.82134,100,18.52771,13178,13749.188,3.48903,,,,
2021-10-24T00:26:54+00:00,7146,24.1191,98.57924,18.51117,13149,13596.714,3.48903,,,,
2021-10-24T00:28:23+00:00,7147,24.30107,98.01517,18.75931,13030,13733.971,3.49097,,,,
2021-10-24T00:29:52+00:00,7148,24.36724,96.58734,18.46154,13009,13633.245,3.43613,,,,
2021-10-24T01:01:14+00:00,7149,22.66336,100,18.57734,13187,13596.716,3.43161,,,,
2021-10-24T01:02:43+00:00,7150,22.82878,100,19.00744,13032,13459.461,3.48903,,,,
2021-10-24T01:04:12+00:00,7151,23.30852,100,17.78329,13174,13596.716,3.48516,,,,
2021-10-24T01:05:41+00:00,7152,23.63937,100,19.23904,13184,13495.497,3.48774,,,,
2021-10-24T01:07:10+00:00,7153,23.82134,100,19.4541,13070,13423.425,3.48194,,,,
2021-10-24T01:08:39+00:00,7154,24.03639,98.8084,18.46154,13153,13575.401,3.48774,,,,
2021-10-24T01:10:08+00:00,7155,24.15219,97.786,18.61042,13111,13593.42,3.4871,,,,
2021-10-24T01:11:37+00:00,7156,24.31762,96.85176,18.62697,13188,13441.442,3.4871,,,,
2021-10-24T01:13:06+00:00,7157,24.36724,97.31007,18.47808,13164,13575.401,3.48774,,,,
2021-10-24T01:14:45+00:00,7158,24.48305,95.93513,18.46154,13138,13514.008,3.48258,,,,
2021-10-24T01:16:14+00:00,7159,24.48305,95.37106,18.51117,13088,13495.497,3.48387,,,,
2021-10-24T01:17:44+00:00,7160,24.53267,95.31817,18.62697,13007,13459.461,3.4871,,,,
2021-10-24T01:19:13+00:00,7161,24.48305,94.66597,18.52771,13062,13495.497,3.48516,,,,
2021-10-24T01:20:42+00:00,7162,24.5823,94.26054,18.36228,13158,13495.495,3.48194,,,,
2021-10-24T01:22:11+00:00,7163,24.61538,94.47206,18.06452,13016,13614.732,3.48903,,,,
2021-10-24T01:53:42+00:00,7164,22.82878,100,18.49462,13175,13712.656,3.43161,,,,
2021-10-24T02:25:02+00:00,7165,24.15219,99.53111,18.34574,13177,13459.461,3.4329,,,,
2021-10-24T02:26:31+00:00,7166,24.31762,98.93178,18.24648,13092,13629.95,3.48645,,,,
2021-10-24T02:57:55+00:00,7167,25.4756,92.4978,18.3292,13177,13596.716,3.4329,,,,
2021-10-24T02:59:24+00:00,7168,25.74028,91.36964,17.81638,13029,13596.716,3.48452,,,,
2021-10-24T03:30:49+00:00,7169,28.12242,79.33015,18.64351,13090,13590.734,3.43097,,,,
2021-10-24T03:32:16+00:00,7170,28.28784,79.10101,18.47808,13060,13694.639,3.48645,,,,
2021-10-24T04:03:44+00:00,7171,28.12242,75.8047,17.96526,13151,13514.008,3.43226,,,,
2021-10-24T04:05:13+00:00,7172,28.53598,75.54028,18.59388,13027,13614.734,3.48645,,,,
2021-10-24T04:36:41+00:00,7173,30.93466,65.03436,18.75931,13121,13552.596,3.42581,,,,
2021-10-24T04:38:20+00:00,7174,30.93466,65.40455,18.64351,13039,13459.459,3.48323,,,,
2021-10-24T04:39:59+00:00,7175,30.76923,63.25401,18.89165,13140,13495.989,3.48129,,,,
2021-10-24T04:41:28+00:00,7176,30.85194,62.42553,18.89165,13164,13734.606,3.48387,,,,
2021-10-24T04:42:57+00:00,7177,31.43093,61.01534,18.90819,13177,13513.514,3.4871,,,,
2021-10-24T04:44:26+00:00,7178,31.76179,58.2831,18.85856,13136,13596.716,3.48387,,,,
2021-10-24T04:45:55+00:00,7179,32.25806,57.13732,18.67659,13005,13651.756,3.48774,,,,
2021-10-24T04:47:24+00:00,7180,32.75434,56.55561,18.72622,13011,13513.514,3.48581,,,,
2021-10-24T04:49:04+00:00,7181,33.25062,55.76238,18.64351,13084,13459.461,3.4929,,,,
2021-10-24T05:20:39+00:00,7182,42.34904,33.0936,19.2225,13055,13477.479,3.40258,,,,
2021-10-24T05:22:08+00:00,7183,43.2258,30.55526,19.18941,13175,13632.752,3.46258,,,,
2021-10-24T05:23:35+00:00,7184,44.0364,28.43998,18.90819,13159,13532.026,3.47742,,,,
2021-10-24T05:25:14+00:00,7185,44.71464,28.22845,19.15633,13139,13770.5,3.48,,,,
2021-10-24T05:56:59+00:00,7186,42.0182,29.53288,19.98346,13049,13532.026,3.42645,,,,
2021-10-24T06:28:45+00:00,7187,48.13896,19.36189,20.29777,13099,13770.5,3.42323,,,,
2021-10-24T06:30:14+00:00,7188,48.30438,19.34426,20.16543,13172,13513.514,3.48,,,,
2021-10-24T06:31:49+00:00,7189,49.13152,19.55579,20.21505,13174,13691.724,3.48,,,,
