created_at,entry_id,field1 (Ambient Temperature),field2 (Ambient Humidity),field3 (soil temperature),field4 (Leaf wetness sensor),field5 (Soil moisute sensor),field6 (Battery voltage),latitude,longitude,elevation,status
2021-08-21T03:38:38+00:00,2420,27.29528,100,18.75931,2946.4331,9311.3428,4.17484,,,,
2021-08-21T04:10:14+00:00,2421,27.46071,97.13379,18.77585,3042.5044,9457.3291,4.1671,,,,
2021-08-21T04:41:53+00:00,2422,27.62614,95.52971,18.85856,3137.9717,9311.1797,4.16774,,,,
2021-08-21T05:20:57+00:00,2423,30.27295,82.29155,18.66005,3167.6545,9439.6895,4.16452,,,,
2021-08-21T05:52:36+00:00,2424,28.45327,88.58452,18.9909,3839.1641,9354.9365,4.15806,,,,
2021-08-21T06:24:15+00:00,2425,28.45327,89.78318,19.07361,3945.5415,9365.6455,4.15742,,,,
2021-08-21T06:55:54+00:00,2426,28.83374,86.22246,19.09016,4740.0894,9366.6992,4.15484,,,,
2021-08-21T07:27:31+00:00,2427,28.10587,86.46925,19.20595,4537.8467,9576.6895,4.1529,,,,
2021-08-21T07:59:23+00:00,2428,28.07279,92.07474,18.97436,3884.0188,9384.502,4.15226,,,,
2021-08-21T08:31:16+00:00,2429,27.79156,92.99136,19.23904,3561.5981,9319.834,4.14774,,,,
2021-08-21T12:48:48+00:00,2430,27.79156,90.27675,18.85856,3856.8862,9381.0615,4.12774,,,,
2021-08-21T13:20:30+00:00,2431,27.17948,91.91609,19.09016,3568.8862,9381.2285,4.12839,,,,
2021-08-21T13:52:07+00:00,2432,26.8321,96.55209,18.70968,3182.938,9354.6113,4.12839,,,,
2021-08-21T14:23:43+00:00,2433,26.63358,95.82938,18.89165,3209.5945,9504.5381,4.12258,,,,
2021-08-21T14:55:33+00:00,2434,26.63358,96.6226,18.82548,3121.356,9493.1846,4.12387,,,,
2021-08-21T14:58:43+00:00,2435,27.99008,92.7622,18.84202,3138.9954,9735.7744,4.13742,,,,
2021-08-21T15:00:23+00:00,2436,28.60215,87.96756,18.9909,3140.9556,9464.1152,4.13484,,,,
2021-08-21T15:32:11+00:00,2437,26.76592,95.9175,19.42101,3121.3694,9463.54,4.11613,,,,
2021-08-21T16:03:50+00:00,2438,26.63358,96.86938,18.67659,3102.9224,9363.4277,4.11613,,,,
2021-08-21T16:35:27+00:00,2439,26.63358,96.74599,19.00744,3093.1204,9446.6504,4.11613,,,,
2021-08-21T16:38:30+00:00,2440,27.79156,92.62119,18.84202,3115.5562,9398.6943,4.1271,,,,
2021-08-21T17:10:10+00:00,2441,26.63358,97.80363,18.79239,3044.2952,9484.3682,4.10968,,,,
2021-08-21T17:41:57+00:00,2442,26.63358,98.36771,18.75931,3031.2351,9576.8848,4.10968,,,,
2021-08-21T18:13:34+00:00,2443,26.55087,98.45585,18.8751,2968.4207,9354.6113,4.10968,,,,
2021-08-21T18:45:25+00:00,2444,26.46815,100,18.79239,2891.147,9446.4258,4.10452,,,,
2021-08-21T19:17:01+00:00,2445,26.46815,100,18.70968,2884.5601,9448.1807,4.10323,,,,
2021-08-21T19:48:37+00:00,2446,26.46815,98.03278,18.82548,2966.6235,9502.002,4.10258,,,,
2021-08-21T20:28:11+00:00,2447,29.2804,83.17293,18.77585,2976.4136,9398.6943,4.09226,,,,
2021-08-21T20:59:47+00:00,2448,26.53433,96.1114,18.56079,2998.7522,9398.6943,4.09161,,,,
2021-08-21T21:31:25+00:00,2449,26.46815,97.16905,18.77585,2997.8406,9389.8779,4.09032,,,,
2021-08-21T22:03:00+00:00,2450,26.46815,97.64499,18.69313,2954.3462,9546.8984,4.09032,,,,
2021-08-21T22:34:35+00:00,2451,26.30273,98.64973,18.70968,2949.1755,9398.6953,4.09032,,,,
2021-08-21T23:06:13+00:00,2452,26.30273,98.86128,18.80893,2942.2441,9416.6641,4.08774,,,,
2021-08-21T23:37:48+00:00,2453,26.30273,98.59686,18.59388,2964.9114,9578.6074,4.08387,,,,
2021-08-21T23:39:42+00:00,2454,26.88172,98.38533,18.67659,2925.7017,9407.8477,4.09935,,,,
